fiscal_year,fund,department,tag_peoples_budget,class,total
2027,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Purchase of Services,273699346
2027,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,"Materials, Supplies & Equip.",764250
2027,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Payments to Other Funds,140905
2027,Grants Revenue Fund,Parks and Recreation,Parks & Recreation,Personal Services,2347900
2027,Grants Revenue Fund,Parks and Recreation,Parks & Recreation,Pers. Svcs.-Emp.Benefits,84500
2027,Grants Revenue Fund,Parks and Recreation,Parks & Recreation,Purchase of Services,9032538
2027,Grants Revenue Fund,Parks and Recreation,Parks & Recreation,"Materials, Supplies & Equip.",3576075
2027,Grants Revenue Fund,Human Services,Youth Services,Personal Services,103416951
2027,Grants Revenue Fund,Human Services,Youth Services,Pers. Svcs.-Emp.Benefits,73649358
2027,Grants Revenue Fund,Human Services,Youth Services,Purchase of Services,578441692
2027,Grants Revenue Fund,Human Services,Youth Services,"Materials, Supplies & Equip.",4066643
2027,Grants Revenue Fund,Human Services,Youth Services,Payments to Other Funds,8000000
2027,Grants Revenue Fund,Office of Homeless Services,Housing & Homeless Services,Personal Services,2044573
2027,Grants Revenue Fund,Office of Homeless Services,Housing & Homeless Services,Purchase of Services,48483875
2027,Grants Revenue Fund,Office of Homeless Services,Housing & Homeless Services,"Materials, Supplies & Equip.",500000
2027,Grants Revenue Fund,Finance,Government Operations,Personal Services,475000
2027,Grants Revenue Fund,Finance,Government Operations,Purchase of Services,19254624
2027,Grants Revenue Fund,Finance,Government Operations,"Materials, Supplies & Equip.",52639
2027,Grants Revenue Fund,Finance,Government Operations,Advances and Other Misc. Payments,1000000477
2027,Grants Revenue Fund,Revenue,Government Operations,Purchase of Services,22650000
2027,Grants Revenue Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,8022000
2027,Grants Revenue Fund,Office of Sustainability,Government Operations,Personal Services,650000
2027,Grants Revenue Fund,Office of Sustainability,Government Operations,Purchase of Services,2450000
2027,Grants Revenue Fund,Free Library,Libraries,Personal Services,2069697
2027,Grants Revenue Fund,Free Library,Libraries,Purchase of Services,3028751
2027,Grants Revenue Fund,Free Library,Libraries,"Materials, Supplies & Equip.",8115739
2027,Grants Revenue Fund,Auditing (City Controller),Government Operations,Purchase of Services,300000
2027,Grants Revenue Fund,Register of Wills,Government Operations,Purchase of Services,850000
2027,Grants Revenue Fund,District Attorney,Courts & the Justice System,Personal Services,9705150
2027,Grants Revenue Fund,District Attorney,Courts & the Justice System,Purchase of Services,3028750
2027,Grants Revenue Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",751000
2027,Grants Revenue Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",2000000
